objName,raMean,decMean,rMeanApMag,rMeanPSFMag,qualityFlag
string,ra,dec,float,float,integer
PSO J054510.607+205952.836,05 45 10.608,+20 59 52.77,22.414,21.890,52
PSO J054510.474+210009.375,05 45 10.476,+21 00 09.33,19.524,19.496,52
PSO J054509.836+205940.818,05 45 09.837,+20 59 40.78,21.522,21.414,52
PSO J054511.408+205945.853,05 45 11.412,+20 59 45.85,21.587,21.664,52
PSO J054509.962+205928.652,05 45 09.964,+20 59 28.61,17.922,17.902,60
PSO J054507.721+205943.497,05 45 07.722,+20 59 43.50,20.875,21.130,32
PSO J054507.813+210020.628,05 45 07.814,+21 00 20.58,22.859,21.480,36
PSO J054511.770+210027.640,05 45 11.770,+21 00 27.59,22.409,21.625,52
PSO J054511.957+210025.689,05 45 11.960,+21 00 25.64,19.317,19.270,52
PSO J054507.687+210019.770,05 45 07.686,+21 00 19.65,17.273,17.353,32
PSO J054507.632+205941.151,05 45 07.633,+20 59 41.11,15.505,15.511,60
PSO J054507.493+210015.083,05 45 07.494,+21 00 15.05,17.777,17.774,60
PSO J054509.688+205921.804,05 45 09.688,+20 59 21.77,19.877,20.239,61
PSO J054511.815+205931.130,05 45 11.817,+20 59 31.11,21.553,21.158,52
PSO J054511.571+205927.124,05 45 11.572,+20 59 27.07,19.523,18.675,32
PSO J054512.983+210001.308,05 45 12.984,+21 00 01.26,18.020,18.016,60
PSO J054508.121+205926.663,05 45 08.123,+20 59 26.63,19.881,19.718,52
PSO J054507.705+210028.619,05 45 07.706,+21 00 28.64,25.111,22.433,52
PSO J054512.417+205932.079,05 45 12.418,+20 59 32.04,18.046,18.021,60
PSO J054506.873+210003.547,05 45 06.874,+21 00 03.49,23.026,21.585,52
PSO J054513.085+210009.622,05 45 13.087,+21 00 09.59,18.779,18.754,52
PSO J054512.841+205939.270,05 45 12.844,+20 59 39.26,18.233,18.613,37
PSO J054506.812+210012.415,05 45 06.814,+21 00 12.37,18.356,18.351,60
PSO J054507.763+205925.809,05 45 07.765,+20 59 25.77,20.806,20.720,52
PSO J054510.841+205914.677,05 45 10.842,+20 59 14.64,18.068,18.044,60
PSO J054507.237+210026.759,05 45 07.239,+21 00 26.67,18.624,18.616,60
PSO J054512.771+205932.377,05 45 12.771,+20 59 32.32,24.551,22.069,52
PSO J054506.585+210005.662,05 45 06.587,+21 00 05.62,17.087,17.088,60
PSO J054513.099+205939.210,05 45 13.101,+20 59 39.17,17.929,17.913,60
PSO J054510.708+205911.356,05 45 10.709,+20 59 11.29,20.913,20.993,52
PSO J054511.794+205916.671,05 45 11.789,+20 59 16.86,18.406,18.786,61
PSO J054506.426+205959.419,05 45 06.429,+20 59 59.38,21.511,21.302,52
PSO J054511.206+205912.682,05 45 11.206,+20 59 12.68,20.051,20.249,32
PSO J054508.094+210042.678,05 45 08.099,+21 00 42.65,19.360,19.707,52
