Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   7.01 -0.17  0.14960 -1.699 3.513  4.308 11.20  0.038 0.00 20.218 25.447 23.876 22.244 21.086 19.695 18.404 17.848 17.586  0.150
 1   8.21  0.23  0.08400 -2.800 3.450  4.909  6.60  0.033 0.00 18.371 25.297 23.358 21.541 20.036 18.125 16.382 15.861 15.553  0.084
 1   8.21  0.31  0.54046 -1.306 3.598  4.816  6.80  0.034 0.80 14.363 17.951 16.868 15.622 14.707 13.727 12.684 12.026 11.880  0.540
 1   8.35 -0.05  0.32824 -1.820 3.568  4.993  8.10  0.037 0.87 16.807 20.844 19.613 18.207 17.225 16.166 15.095 14.512 14.304  0.328
 1   8.37  0.19  0.18784 -2.286 3.522  5.033  8.30  0.037 0.00 18.784 23.693 22.264 20.715 19.596 18.235 16.976 16.427 16.174  0.188
 1   8.39  0.07  0.83215 -0.550 3.689  4.611  7.90  0.037 0.00 14.044 16.093 15.382 14.396 13.817 13.356 12.698 12.163 12.098  0.832
 1   8.39  0.09  0.12634 -2.518 3.487  4.950  8.30  0.037 0.00 19.364 25.136 23.518 21.848 20.562 18.944 17.475 16.944 16.661  0.126
 1   8.41 -0.07  0.35881 -1.736 3.574  4.972  6.80  0.034 0.00 15.911 19.726 18.568 17.209 16.250 15.249 14.211 13.625 13.435  0.359
 1   8.47 -0.05  0.31313 -1.859 3.566  5.001  8.40  0.037 0.00 17.817 21.839 20.612 19.209 18.229 17.175 16.107 15.523 15.317  0.313
 1   8.61 -0.07  0.93718 -0.262 3.735  4.556  4.00  0.017 0.94  8.815 10.148  9.793  8.982  8.521  8.135  7.609  7.183  7.136  0.937
 1   8.61  0.05  0.12273 -2.599 3.484  5.006  6.60  0.033 0.82 17.305 23.350 21.659 19.953 18.616 16.924 15.388 14.860 14.570  0.123
 1   8.65 -0.05  0.23958 -2.080 3.552  5.051 11.10  0.038 0.73 20.579 25.108 23.738 22.235 21.190 19.985 18.824 18.256 18.016  0.240
 1   8.69 -0.23  0.91729 -0.255 3.742  4.571 11.70  0.038 0.00 17.107 18.213 18.002 17.259 16.832 16.462 15.972 15.579 15.534  0.917
 1   8.73  0.45  0.22345 -2.172 3.535  5.046  9.70  0.038 0.00 19.899 24.562 23.176 21.661 20.588 19.320 18.125 17.563 17.319  0.223
 1   8.75  0.11  0.07862 -3.230 3.405  5.130  8.70  0.038 0.00 21.546 30.827 27.960 25.852 23.948 21.667 19.462 18.925 18.607  0.079
 1   8.77 -0.17  0.07569 -3.400 3.385  5.204  5.10  0.024 0.00 18.369 28.840 25.427 23.174 21.078 18.682 16.266 15.701 15.385  0.076
 1   8.79  0.33  0.35881 -1.761 3.563  4.950  8.50  0.037 0.00 17.673 21.774 20.564 19.190 18.192 17.052 15.939 15.346 15.140  0.359
 1   8.81  0.17  0.20843 -2.223 3.534  5.061  6.20  0.031 0.93 15.847 20.591 19.187 17.659 16.572 15.272 14.058 13.502 13.256  0.208
 1   8.81  0.21  0.32678 -1.849 3.557  4.973  7.10  0.035 0.00 16.492 20.719 19.448 18.020 17.014 15.872 14.759 14.175 13.954  0.327
 1   8.81  0.35  0.18195 -2.344 3.517  5.055  7.80  0.037 0.00 18.430 23.481 22.014 20.442 19.298 17.898 16.610 16.064 15.807  0.182
 1   8.83 -0.11  0.06675 -3.757 3.321  5.250  7.80  0.037 0.00 21.962 35.542 31.144 28.259 25.656 23.135 19.996 19.237 18.822  0.067
 1   8.83  0.01  0.24282 -2.076 3.549  5.042  7.90  0.037 0.81 17.313 21.809 20.453 18.960 17.919 16.714 15.560 14.991 14.752  0.243
 1   8.85  0.03  0.10736 -2.841 3.467  5.122 11.50  0.038 0.00 23.371 29.913 28.022 26.239 24.823 23.037 21.429 20.897 20.606  0.107
 1   8.85  0.07  0.25236 -2.050 3.548  5.028  8.10  0.037 0.00 17.995 22.414 21.076 19.596 18.568 17.389 16.254 15.680 15.443  0.252
 1   8.85  0.31  0.06057 -3.944 3.279  5.224  6.70  0.033 0.98 20.607 35.401 31.038 27.688 24.864 22.431 18.870 17.858 17.274  0.061
 1   8.85  0.35  0.31313 -1.886 3.554  4.981  9.10  0.038 0.00 18.585 22.878 21.586 20.144 19.130 17.972 16.850 16.267 16.041  0.313
 1   8.87  0.09  4.84871 -2.596 4.125  8.415  7.70  0.036 0.00 18.960 19.230 19.787 19.631 19.673 19.704 19.895 19.877 19.942  0.861
 1   8.89 -0.01  0.27620 -1.969 3.557  5.021  3.90  0.016 0.00 13.592 17.787 16.508 15.072 14.072 12.956 11.860 11.283 11.061  0.276
 1   8.91 -0.01  2.35855  1.724 3.694  2.810  8.40  0.037 0.71  8.678 10.154  9.736  8.920  8.450  8.042  7.443  6.962  6.901  2.359
 1   8.95  0.05  0.16350 -2.471 3.508  5.100 11.50  0.038 0.77 21.993 27.518 25.929 24.285 23.059 21.526 20.128 19.589 19.318  0.164
 1   8.95  0.09  0.15065 -2.556 3.496  5.101  9.50  0.038 0.00 20.661 26.272 24.657 22.997 21.754 20.200 18.793 18.256 17.983  0.151
 1   8.95  0.19  0.06912 -3.837 3.310  5.299  7.30  0.035 0.00 21.663 35.699 31.334 28.285 25.592 23.094 19.798 18.953 18.498  0.069
 1   8.97 -0.21  1.11502  0.187 3.797  4.434  6.90  0.034 0.00 11.203 11.736 11.779 11.265 10.946 10.664 10.321 10.049 10.024  1.115
 1   8.97  0.23  0.66738 -0.987 3.631  4.718  9.10  0.038 0.00 16.337 19.436 18.342 17.135 16.350 15.685 14.810 14.119 14.019  0.667
 1   8.97  0.25  0.88005 -0.447 3.700  4.574  8.60  0.038 0.00 14.487 16.450 15.753 14.781 14.225 13.787 13.166 12.673 12.613  0.880
 1   8.99 -0.17  0.10051 -3.040 3.457  5.254  8.90  0.038 0.00 21.269 28.675 26.312 24.375 22.838 20.954 19.308 18.757 18.484  0.101
 1   8.99 -0.09  0.08154 -3.486 3.385  5.319  6.60  0.033 0.00 20.084 30.881 27.256 24.956 22.819 20.410 17.985 17.408 17.103  0.082
 1   8.99 -0.07  0.48430 -1.411 3.597  4.868  6.50  0.032 0.83 14.267 17.774 16.681 15.379 14.474 13.603 12.622 11.993 11.836  0.484
 1   8.99  0.19  0.54045 -1.302 3.599  4.814  7.60  0.036 0.00 15.626 19.074 17.990 16.738 15.853 14.981 13.993 13.312 13.181  0.540
 1   9.01 -0.09  0.37789 -1.677 3.578  4.952  8.00  0.037 0.00 16.962 20.708 19.566 18.218 17.270 16.300 15.276 14.682 14.499  0.378
 1   9.03 -0.09  0.18015 -2.354 3.529  5.108  9.00  0.038 0.00 19.655 24.516 23.042 21.473 20.377 19.086 17.872 17.312 17.064  0.180
 1   9.03 -0.03  0.27838 -1.958 3.558  5.020  6.70  0.033 0.83 15.788 20.063 18.758 17.302 16.293 15.165 14.059 13.481 13.255  0.278
 1   9.03  0.05  0.36020 -1.742 3.569  4.958  6.70  0.033 0.00 15.825 19.772 18.590 17.223 16.248 15.179 14.108 13.520 13.323  0.360
 1   9.03  0.19  0.44070 -1.547 3.578  4.886 11.80  0.038 0.00 20.437 24.231 23.129 21.838 20.871 19.798 18.718 18.112 17.936  0.441
 1   9.05 -0.27  1.07394  0.136 3.795  4.457  7.20  0.035 0.00 11.630 12.174 12.223 11.701 11.378 11.089 10.738 10.458 10.432  1.074
