#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   7.17 -0.05  0.03087 -2.733 3.404  4.221  8.60  0.032 0.00 20.203 27.733 26.070 24.315 22.573 20.381 18.131 17.637 17.255  0.031 
 1   7.19  0.29  0.03394 -2.706 3.410  4.261  6.70  0.020 0.00 18.234 25.583 23.934 22.191 20.490 18.345 16.172 15.679 15.305  0.034 
 1   7.59 -0.15  0.06869 -2.544 3.456  4.590  9.50  0.035 0.00 20.630 27.613 25.539 23.682 22.193 20.331 18.670 18.132 17.839  0.069 
 1   7.67  0.09  0.05348 -2.813 3.432  4.654  9.80  0.036 0.00 21.602 28.886 26.977 25.160 23.551 21.511 19.578 19.069 18.739  0.053 
 1   7.67  0.17  0.42213 -1.594 3.575  4.903  9.70  0.036 0.80 17.947 21.891 20.736 19.396 18.413 17.311 16.219 15.626 15.432  0.422 
 1   7.87 -0.15  0.10327 -2.396 3.490  4.753  8.60  0.032 0.00 19.359 25.187 23.464 21.753 20.483 18.910 17.488 16.942 16.665  0.103 
 1   7.91 -0.21  0.33280 -1.782 3.578  5.000 10.00  0.037 0.87 18.610 22.422 21.239 19.852 18.897 17.949 16.931 16.345 16.151  0.333 
 1   8.05  0.03  0.09750 -2.642 3.474  4.911  8.00  0.028 0.00 19.375 25.491 23.783 22.068 20.715 19.001 17.451 16.926 16.633  0.097 
 1   8.19 -0.03  0.24158 -2.077 3.551  5.048  7.90  0.028 0.00 17.861 22.216 20.880 19.405 18.388 17.241 16.126 15.551 15.318  0.242 
 1   8.25  0.41  0.98005 -0.231 3.730  4.526  8.50  0.031 0.00 13.848 15.398 14.880 14.008 13.527 13.147 12.629 12.230 12.183  0.980 
 1   8.27 -0.33  0.10634 -2.595 3.494  4.983  7.80  0.027 0.88 18.425 24.428 22.556 20.780 19.509 17.960 16.566 16.003 15.730  0.106 
 1   8.37  0.15  0.09772 -2.711 3.465  4.944  9.90  0.036 0.94 20.763 27.302 25.476 23.707 22.275 20.459 18.807 18.283 17.982  0.098 
 1   8.41  0.11  2.89206  1.962 4.013  3.937 10.90  0.038 0.73 10.529 10.694 10.794 10.810 10.811 10.823 10.850 10.857 10.864  2.892 
 1   8.41  0.23  0.09111 -2.791 3.454  4.951  9.00  0.034 0.00 20.748 27.538 25.639 23.838 22.359 20.481 18.771 18.248 17.944  0.091 
 1   8.41  0.43  0.20787 -2.229 3.532  5.059 10.40  0.037 0.85 20.090 24.958 23.537 21.994 20.883 19.539 18.289 17.737 17.485  0.208 
 1   8.43  0.19  0.05177 -3.534 3.338  4.982  7.90  0.028 0.00 21.504 33.986 29.895 27.267 24.861 22.341 19.416 18.779 18.376  0.052 
 1   8.45 -0.41  0.15993 -2.319 3.529  5.024  9.60  0.036 0.00 20.167 25.127 23.521 21.877 20.790 19.590 18.415 17.839 17.586  0.160 
 1   8.45 -0.05  0.08786 -2.833 3.458  4.993  9.30  0.035 0.89 20.573 27.590 25.599 23.764 22.251 20.339 18.587 18.061 17.756  0.088 
 1   8.45  0.29  0.41362 -1.617 3.572  4.907 11.10  0.038 0.00 19.912 23.810 22.692 21.392 20.408 19.285 18.178 17.576 17.392  0.414 
 1   8.49  0.11  0.09066 -2.824 3.455  4.984  9.50  0.035 0.00 21.329 28.103 26.208 24.410 22.934 21.061 19.354 18.831 18.527  0.091 
 1   8.55  0.05  0.38616 -1.674 3.573  4.936  9.70  0.036 0.00 18.655 22.518 21.369 20.027 19.059 18.004 16.940 16.350 16.161  0.386 
 1   8.55  0.37  0.07940 -3.014 3.427  5.006  8.10  0.029 0.81 20.061 28.287 25.984 24.020 22.279 20.120 18.001 17.461 17.135  0.079 
